2026-01-09T14:24:15.390646+00:00 | DB_CALL count_purchases | P3 | 3.09ms | success
2026-01-09T14:24:15.390909+00:00 | DB_CALL count_users | P3 | 0.15ms | success
2026-01-09T14:24:15.391125+00:00 | DB_CALL count_categories | P3 | 0.11ms | success
2026-01-09T14:24:34.148776+00:00 | DB_CALL get_user_by_username | P3 | 0.35ms | success
2026-01-09T14:24:34.169561+00:00 | DB_CALL get_user_by_id | P3 | 0.52ms | success
2026-01-09T14:24:34.174271+00:00 | DB_CALL create_ingredient | P3 | 4.36ms | success
2026-01-09T14:24:34.177201+00:00 | DB_CALL create_audit_log | P3 | 2.79ms | success
2026-01-09T14:24:34.177548+00:00 | DB_CALL get_ingredient_by_id | P3 | 0.25ms | success
2026-01-09T14:24:34.195503+00:00 | DB_CALL get_user_by_id | P3 | 0.22ms | success
2026-01-09T14:24:34.198334+00:00 | DB_CALL create_ingredient | P3 | 2.57ms | success
2026-01-09T14:24:34.200519+00:00 | DB_CALL create_audit_log | P3 | 2.07ms | success
2026-01-09T14:24:34.200759+00:00 | DB_CALL get_ingredient_by_id | P3 | 0.15ms | success
2026-01-09T14:24:34.219719+00:00 | DB_CALL get_user_by_id | P3 | 0.24ms | success
2026-01-09T14:24:34.222154+00:00 | DB_CALL create_ingredient | P3 | 2.22ms | success
2026-01-09T14:24:34.224280+00:00 | DB_CALL create_audit_log | P3 | 2.02ms | success
2026-01-09T14:24:34.224507+00:00 | DB_CALL get_ingredient_by_id | P3 | 0.15ms | success
2026-01-09T14:24:34.243901+00:00 | DB_CALL get_user_by_id | P3 | 0.22ms | success
2026-01-09T14:24:34.246405+00:00 | DB_CALL create_ingredient | P3 | 2.29ms | success
2026-01-09T14:24:34.248495+00:00 | DB_CALL create_audit_log | P3 | 1.98ms | success
2026-01-09T14:24:34.248684+00:00 | DB_CALL get_ingredient_by_id | P3 | 0.12ms | success
2026-01-09T14:24:34.265977+00:00 | DB_CALL get_user_by_id | P3 | 0.24ms | success
2026-01-09T14:24:34.268311+00:00 | DB_CALL create_ingredient | P3 | 2.12ms | success
2026-01-09T14:24:34.270411+00:00 | DB_CALL create_audit_log | P3 | 1.99ms | success
2026-01-09T14:24:34.270659+00:00 | DB_CALL get_ingredient_by_id | P3 | 0.17ms | success
2026-01-09T14:24:34.289349+00:00 | DB_CALL get_user_by_id | P3 | 0.21ms | success
2026-01-09T14:24:34.289641+00:00 | DB_CALL get_all_ingredients | P3 | 0.17ms | success
2026-01-09T14:24:42.044581+00:00 | DB_CALL get_user_by_id | P3 | 1.18ms | success
2026-01-09T14:24:42.047079+00:00 | DB_CALL get_user_by_id | P3 | 3.57ms | success
2026-01-09T14:24:42.047259+00:00 | DB_CALL get_user_by_id | P3 | 3.02ms | success
2026-01-09T14:24:42.047655+00:00 | DB_CALL count_ingredients | P3 | 0.41ms | success
2026-01-09T14:24:42.047835+00:00 | DB_CALL count_products | P3 | 0.12ms | success
2026-01-09T14:24:42.047947+00:00 | DB_CALL count_purchases | P3 | 0.07ms | success
2026-01-09T14:24:42.048052+00:00 | DB_CALL count_users | P3 | 0.07ms | success
2026-01-09T14:24:42.048148+00:00 | DB_CALL count_categories | P3 | 0.06ms | success
2026-01-09T14:25:12.011237+00:00 | DB_CALL get_user_by_id | P3 | 4.0ms | success
2026-01-09T14:25:12.015332+00:00 | DB_CALL get_user_by_id | P3 | 7.98ms | success
2026-01-09T14:25:12.015744+00:00 | DB_CALL get_user_by_id | P3 | 8.28ms | success
2026-01-09T14:25:12.016192+00:00 | DB_CALL count_ingredients | P3 | 0.28ms | success
2026-01-09T14:25:12.016396+00:00 | DB_CALL count_products | P3 | 0.12ms | success
2026-01-09T14:25:12.016585+00:00 | DB_CALL count_purchases | P3 | 0.14ms | success
2026-01-09T14:25:12.016705+00:00 | DB_CALL count_users | P3 | 0.07ms | success
2026-01-09T14:25:12.016812+00:00 | DB_CALL count_categories | P3 | 0.07ms | success
2026-01-09T14:25:42.008449+00:00 | DB_CALL get_user_by_id | P3 | 1.04ms | success
2026-01-09T14:25:42.008954+00:00 | DB_CALL get_user_by_id | P3 | 0.89ms | success
2026-01-09T14:25:42.009812+00:00 | DB_CALL count_ingredients | P3 | 1.03ms | success
2026-01-09T14:25:42.009933+00:00 | DB_CALL get_user_by_id | P3 | 0.34ms | success
2026-01-09T14:25:42.012489+00:00 | DB_CALL count_products | P3 | 2.59ms | success
2026-01-09T14:25:42.012646+00:00 | DB_CALL count_purchases | P3 | 0.09ms | success
2026-01-09T14:25:42.012766+00:00 | DB_CALL count_users | P3 | 0.08ms | success
2026-01-09T14:25:42.012874+00:00 | DB_CALL count_categories | P3 | 0.07ms | success
2026-01-09T14:25:45.299163+00:00 | DB_CALL get_user_by_id | P3 | 0.26ms | success
2026-01-09T14:25:45.299869+00:00 | DB_CALL get_user_by_id | P3 | 0.18ms | success
2026-01-09T14:25:45.300057+00:00 | DB_CALL get_all_categories | P3 | 0.71ms | success
2026-01-09T14:25:45.300626+00:00 | DB_CALL get_all_products | P3 | 0.62ms | success
2026-01-09T14:25:45.301534+00:00 | DB_CALL get_user_by_id | P3 | 0.12ms | success
2026-01-09T14:25:45.301754+00:00 | DB_CALL get_category_by_name | P3 | 0.14ms | success
2026-01-09T14:25:45.301886+00:00 | DB_CALL get_category_by_name | P3 | 0.08ms | success
2026-01-09T14:25:45.302500+00:00 | DB_CALL get_category_by_name | P3 | 0.54ms | success
2026-01-09T14:25:45.302591+00:00 | DB_CALL get_user_by_id | P3 | 0.31ms | success
2026-01-09T14:25:45.302850+00:00 | DB_CALL get_all_ingredients | P3 | 0.2ms | success
2026-01-09T14:25:45.303291+00:00 | DB_CALL get_category_by_name | P3 | 0.73ms | success
2026-01-09T14:25:45.303445+00:00 | DB_CALL get_category_by_name | P3 | 0.1ms | success
2026-01-09T14:25:45.303563+00:00 | DB_CALL get_category_by_name | P3 | 0.07ms | success
2026-01-09T14:25:45.480016+00:00 | DB_CALL get_user_by_id | P3 | 0.24ms | success
2026-01-09T14:25:45.480275+00:00 | DB_CALL get_all_categories | P3 | 0.13ms | success
2026-01-09T14:25:47.995145+00:00 | DB_CALL get_user_by_id | P3 | 0.28ms | success
2026-01-09T14:25:47.995327+00:00 | DB_CALL get_user_by_id | P3 | 0.79ms | success
2026-01-09T14:25:47.995591+00:00 | DB_CALL get_all_ingredients | P3 | 0.31ms | success
2026-01-09T14:25:47.996209+00:00 | DB_CALL get_all_categories | P3 | 0.81ms | success
2026-01-09T14:25:48.157160+00:00 | DB_CALL get_user_by_id | P3 | 1.08ms | success
2026-01-09T14:25:48.157538+00:00 | DB_CALL get_all_categories | P3 | 0.23ms | success
2026-01-09T14:26:25.806764+00:00 | DB_CALL get_user_by_id | P3 | 0.81ms | success
2026-01-09T14:26:25.807459+00:00 | DB_CALL get_user_by_id | P3 | 0.76ms | success
2026-01-09T14:26:25.810341+00:00 | DB_CALL count_ingredients | P3 | 3.35ms | success
2026-01-09T14:26:25.811167+00:00 | DB_CALL count_products | P3 | 0.7ms | success
2026-01-09T14:26:25.811264+00:00 | DB_CALL get_user_by_id | P3 | 0.31ms | success
2026-01-09T14:26:25.811645+00:00 | DB_CALL count_purchases | P3 | 0.41ms | success
2026-01-09T14:26:25.811777+00:00 | DB_CALL count_users | P3 | 0.08ms | success
2026-01-09T14:26:25.811884+00:00 | DB_CALL count_categories | P3 | 0.07ms | success
2026-01-09T14:26:55.702041+00:00 | DB_CALL get_user_by_id | P3 | 1.39ms | success
2026-01-09T14:26:55.704890+00:00 | DB_CALL get_user_by_id | P3 | 3.56ms | success
2026-01-09T14:26:55.705238+00:00 | DB_CALL get_user_by_id | P3 | 3.78ms | success
2026-01-09T14:26:55.705520+00:00 | DB_CALL count_ingredients | P3 | 0.15ms | success
2026-01-09T14:26:55.705646+00:00 | DB_CALL count_products | P3 | 0.08ms | success
2026-01-09T14:26:55.705757+00:00 | DB_CALL count_purchases | P3 | 0.07ms | success
2026-01-09T14:26:55.705903+00:00 | DB_CALL count_users | P3 | 0.1ms | success
2026-01-09T14:26:55.706032+00:00 | DB_CALL count_categories | P3 | 0.07ms | success
2026-01-09T14:27:01.391964+00:00 | DB_CALL get_user_by_id | P3 | 0.22ms | success
2026-01-09T14:27:01.392286+00:00 | DB_CALL get_all_ingredients | P3 | 0.19ms | success
2026-01-09T14:27:01.393284+00:00 | DB_CALL get_user_by_id | P3 | 0.17ms | success
2026-01-09T14:27:01.393519+00:00 | DB_CALL get_all_categories | P3 | 0.13ms | success
2026-01-09T14:27:01.550752+00:00 | DB_CALL get_user_by_id | P3 | 0.23ms | success
2026-01-09T14:27:01.551016+00:00 | DB_CALL get_all_categories | P3 | 0.13ms | success
2026-01-09T14:27:12.733607+00:00 | DB_CALL get_user_by_id | P3 | 1.05ms | success
2026-01-09T14:27:12.733812+00:00 | DB_CALL get_user_by_id | P3 | 0.61ms | success
2026-01-09T14:27:12.734089+00:00 | DB_CALL get_all_categories | P3 | 0.3ms | success
2026-01-09T14:27:12.734600+00:00 | DB_CALL get_all_ingredients | P3 | 0.72ms | success
2026-01-09T14:27:12.896172+00:00 | DB_CALL get_user_by_id | P3 | 0.25ms | success
